Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
160,Rajarajeshwari Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Mr G H Ramachandra,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes,,,,,,4,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,4,5 - High Importance,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Zero,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,Mr R Ashok,BJP candidate,BJP,60+,Doctorate,Retired,"Above Rs 2,00,000",Male,Kannada, Telugu, Hindi, English, Marathi and Japanese,,
154,Basavanagudi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Venkatesh Murthy,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,2 - Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,All trust worthy people are thieves in politics,BJP candidate,BJP,31-40,Doctorate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
45,Malleshwaram,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",N Jayapal,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land, Vehicles are parked anywhere and everywhere,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,None of those active politically right now,AAP candidate,Aam Aadmi Party,41-50,Post graduate,Professional (Medical/Law/CA),"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Tamil, Hindi, English, Marathi,,
150,Bellandur,No - other reasons,Parliament elections 2014,Babu Reddy,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, No BWSSB water ,,2,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1 - Low Importance,1 - Low Importance,3 - Average,1- Very Poor,5 - Very Good,1- Very Poor,2 - Poor,2 - Poor,3 - Average,3 - Average,3 - Average,2 - Poor,Zero,Low,Zero,Very high,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,AAP party ,AAP candidate,"Loksatta, Aam Aadmi Party",41-50,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Hindi, English,,,,,
190,Mangammana Palya,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Telugu, English,,,,,
150,Bellandur,No - other reasons,I did not vote in any election,Babu Reddy,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,,41-50,Post graduate,Homemaker,"Between Rs 1,00,000 and Rs 2,00,000",Female,bengali,,,,,,
149,Varthur,No - I did not like the candidates,I did not vote in any election,Uday Kumar,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Clean image of candidate,,,,,,"Don't know, currently there is none",Loksatta candidate,Loksatta,41-50,Doctorate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
99,Rajajinagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",H R KRSHNAPPA,Garbage black spots, Lack of primary health centres, Encroachment of public land,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,2,1 - Low Importance,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, stop giving false Hopes and work to fulfill the promises ,,,,,,Party doesn't matter; candidate does,None,51- 60,Graduate diploma/degree,Business/self employed,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
111,Shantala Nagar,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Low,Can't say,No,No,Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,Ashwin Mahesh,Loksatta candidate,"Loksatta, Aam Aadmi Party",60+,Post graduate,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Female,Kannada, Tamil, Malayalam, Hindi, English,,
58,New Thippasandra,No - other reasons,Parliament elections 2014,Sumithra vijaykumar,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,I'm not interested in voting in this election.,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,Some one from professional background ,Party doesn't matter; candidate does,None,25-30,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada,,,,,,
22,Vishwanatha Nagenahalli,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Husband of the elected member,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,Party doesn't matter; candidate does,None,31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Hindi, English,,,
149,Varthur,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land, No drinnking water pipelines,,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,,Nandan Nilekani,Party doesn't matter; candidate does,No One,21-25,Post graduate,IT/ITES,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Hindi, English,,,,
52,K.R.Puram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,AAP candidate,Aam Aadmi Party,31-40,Post graduate,Business/self employed,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
186,Jaraganahalli,Yes,"BBMP elections 2010, Parliament elections 2014",suguna balakrishna,Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,,3,2,1 - Low Importance,2,5 - High Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,2 - Poor,1- Very Poor,2 - Poor,5 - Very Good,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,2 - Poor,Zero,Zero,Low,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm,,Hemavathy M,Congress candidate,Congress,25-30,Graduate diploma/degree,Student,"<10,000 Rs",Male,Kannada,,,,,,
85,Doddanekundi,No - I was not on the voters list,I did not vote in any election,Sridhar Reddy,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,Nithya Ramakrishnan,Party doesn't matter; candidate does,"Loksatta, Aam Aadmi Party",31-40,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
81,Vignana Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",geetha vivekananda,Garbage black spots, Non-collection of garbage from your home, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, no bus services,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Low,Can't say,Can't say,No,No,Candidate's individual capabilities, Manifesto or promises,,,,,mla,Party doesn't matter; candidate does,Congress,25-30,Graduate diploma/degree,Government Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Telugu, Malayalam, Hindi, English,,
85,Doddanekundi,No - other reasons,Parliament elections 2014,Shridhar Reddy,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Prithvi Reddy,AAP candidate,,25-30,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
86,Marathhalli,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,,,2,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,2,2,2 - Poor,1- Very Poor,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,BJP,25-30,Post graduate,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
86,Marathhalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",no idea never approachable,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,Not even our CM solving any problem,BJP candidate,BJP,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
90,Halsoor,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Gautham Kumar,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,,2,2,2,2,5 - High Importance,4,1 - Low Importance,2,1 - Low Importance,2,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,4 - Good,4 - Good,1- Very Poor,3 - Average,3 - Average,3 - Average,Low,High,Medium,High,Yes,No,Past work record of candidate, Clean image of candidate,,,,,Nandan Nilekani,AAP candidate,Aam Aadmi Party,25-30,Post graduate,Professional (Medical/Law/CA),"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Hindi, English, Marwadi,,
78,Pulakeshinagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",A R ZAKIR,NO ISSUES PROUD TO HAVE A CORPORATOR LIKE HIM SOMETIMES WE DO FACE GARBAGE PICKING UP PROBLEM BUT ONCE WE CONTACT THE LOCAL CORPORATORS OFFICE IT WILL BE RECITIFIED ,,,,,,,,,5 - High Importance,5 - High Importance,2,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,2,4,5 - High Importance,5 - Very Good,4 - Good,3 - Average,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Average,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Zero,Yes,Yes,Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,,,Congress candidate,Congress,21-25,Post graduate,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Urdu, Hindi, English,,
165,Ganesh Mandira,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Govindaraju,Garbage black spots, Bad roads with potholes, Lack of parks and playgrounds, Encroachment of public land,,,,,,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,Yes,No,Past work record of candidate, Clean image of candidate,,,,,Suresh kumar,Party doesn't matter; candidate does,Non corrupt,51- 60,Graduate diploma/degree,Retired,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Hindi, English, Kodava thaku,
9,Vidyaranyapura,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,2,1 - Low Importance,3,2,2,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,Low,Zero,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,BJP candidate,BJP,25-30,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Kannada, Telugu, English,,,,
175,Bommanahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,High,Yes,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,,Congress candidate,Congress,25-30,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada,,,,,,
192,Begur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Srinivas,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,AAP candidate,"Loksatta, Aam Aadmi Party",41-50,Post graduate,Professional (Medical/Law/CA),"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Hindi, English, Tulu, Konkani,,
150,Bellandur,No - I was not on the voters list,I did not vote in any election,Mr Babu Reddy,Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,,,2,2,2,2,2,2,2,2,2,2,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Low,Low,Low,Low,No,I cannot vote,Past work record of candidate, Clean image of candidate,,,,,,Party doesn't matter; candidate does,BJP,41-50,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Telugu,,,,,
4,Yelahanka Sub Division,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Medium,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,any AAP leader,AAP candidate,Aam Aadmi Party,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
150,Bellandur,No - I was not on the voters list,Parliament elections 2014,DONT KNOW,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, water logging,,,Not applicable,Not applicable,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Can't say,Can't say,Can't say,Can't say,,dont know,Candidate's individual capabilities, Past work record of candidate, Corruption and scams of the party elsewhere in India,,,,,BJP candidate,"BJP, Loksatta, Aam Aadmi Party",25-30,Post graduate,IT/ITES,"Above Rs 2,00,000",Female,Kannada, English,,,,,
34,Gangenahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Nagaraj,Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,3,3,1 - Low Importance,3,1 - Low Importance,2 - Poor,2 - Poor,Not applicable,1- Very Poor,3 - Average,2 - Poor,3 - Average,Not applicable,3 - Average,2 - Poor,Medium,Medium,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,,NIL,Party doesn't matter; candidate does,Congress,31-40,Graduate diploma/degree,Public sector Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu, Urdu, Hindi, English, Marathi
178,Sarakki,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",S K Natraj,Garbage black spots, No street lights, Lack of public toilets,,,,,,,1 - Low Importance,2,1 - Low Importance,4,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,1- Very Poor,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Zero,Medium,Low,Zero,No,Confidential,Candidate's individual capabilities, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,,S M Krishna or N R Ramesh,Confidential,BJP,31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
78,Pulakeshinagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Abdul Raqueeb Zakir,Lack of public toilets,,,,,,,,,4,4,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Zero,Yes,Yes,Candidate's individual capabilities,,,,,,,Congress candidate,Congress,41-50,Graduate diploma/degree,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Male,Urdu,,,,,,
